新橋色,しんばしいろ,#59B9C6,89,185,198,0
花浅葱,はなあさぎ,#2A83A2,42,131,162,0
薄縹,うすばなだ,#507EA4,80,126,164,0
青・蒼・碧・藍,あお,#0095D9,0,149,217,0
縹色,はなだいろ,#2792C3,39,146,195,0
天色,あまいろ,#2CA9E1,44,169,225,0
露草色,つゆくさいろ,#38A1DB,56,161,219,0
薄浅葱,うすあさぎ,#69C2C7,105,194,199,0
空色,そらいろ,#A0D8EF,160,216,239,0
瓶覗,かめのぞき,#A2D7DD,162,215,221,0
水色,みずいろ,#BCE2E8,188,226,232,0
秘色,ひそく・ひしょく,#ABCED8,171,206,216,0
淡藤色,あわふじいろ,#BBC8E6,187,200,230,0
碧瑠璃,へきるり,#1853B5,24,83,181,0
み空色,みそらいろ,#3967C4,57,103,196,0
移色,うつしいろ,#3D6EDA,61,110,218,0
想思鼠,そうしねず,#6D93B9,109,147,185,0
薄群青,うすぐんじょう,#5383C3,83,131,195,0
杜若色,かきつばたいろ,#3E62AD,62,98,173,0
群青色,ぐんじょういろ,#4C6CB3,76,108,179,0
薄花桜,うすはなざくら,#5A79BA,90,121,186,0
岩群青,いわぐんじょう,#2A42A6,42,66,166,0
紺桔梗,こんききょう,#4D5AAF,77,90,175,0
桔梗色,ききょういろ,#5654A2,86,84,162,0
紅桔梗,べにききょう,#4D4398,77,67,152,0
呉須色,ごすいろ,#124DAE,18,77,174,0
瑠璃色,るりいろ,#1E50A2,30,80,162,0
濃藍,こいあい,#0F2350,15,35,80,0
伯林青,べれんす,#081941,8,25,65,0
鉄紺,てつこん,#17184B,23,24,75,0
紺瑠璃,こんるり,#164A84,22,74,132,0
青黛・青袋・青代,せいたい,#013574,1,53,116,0
青藍,せいらん,#274A78,39,74,120,0
瑠璃紺,るりこん,#19448E,25,68,142,0
紺色,こんいろ,#223A70,34,58,112,0
深縹,こきはなだ,#2A4073,42,64,115,0
紺瑠璃,こんるり,#213380,33,51,128,0
花紫,はなむらさき,#392680,57,38,128,0
紺天鵞絨,こんびろうど,#223D5F,34,61,95,0
藍天鵞絨,あいびろうど,#1E3859,30,56,89,0
紺青,こんじょう,#192F60,25,47,96,0
留紺,とめこん・とまりこん,#1C305C,28,48,92,0
濃紺,のうこん,#1F2F54,31,47,84,0
薄花色,うすはないろ,#698AAB,105,138,171,0
紅掛花色,べにかけはないろ,#68699B,104,105,155,0
紺藍,こんあい,#4A488E,74,72,142,0
藤御納戸,ふじなんど,#706CAA,112,108,170,0
楝色・棟色・樗色,おうちいろ,#7A71A2,122,113,162,0
紫苑色,しおんいろ,#867BA9,134,123,169,0
青藤,あおふじ,#84A2D4,132,162,212,0
紅掛空色,べにかけそらいろ,#8491C3,132,145,195,0
紫陽花青,あじさいあお,#9093E0,144,147,224,0
藤紫,ふじむらさき,#A59ACA,165,154,202,0
半色・端色,はしたいろ,#A69ABD,166,154,189,0
薄葡萄,うすぶどう,#C0A2C7,192,162,199,0
竜胆色,りんどういろ,#9079AD,144,121,173,0
槿色,むくげいろ,#775580,119,85,128,0
古代紫,こだいむらさき,#895B8A,137,91,138,0
中紫,なかのむらさき,#573E6D,87,62,109,0
葡萄色,ぶどういろ,#522F60,82,47,96,0
縁色,ゆかりのいろ,#5D2369,93,35,105,0
桑の実色,くわのみいろ,#55295B,85,41,91,0
本紫,ほんむらさき,#65318E,101,49,142,0
菫色,すみれいろ,#7058A3,112,88,163,0
青紫,あおむらさき,#674598,103,69,152,0
菖蒲色,あやめいろ / しょうぶいろ,#674196,103,65,150,0
江戸紫,えどむらさき,#745399,116,83,153,0
紅桔梗,べにききょう,#744F97,116,79,151,0
南京藤,なんきんふじ,#A15DC4,161,93,196,0
紫,むらさき,#884898,136,72,152,0
葵色,あおいいろ,#9A5FA9,154,95,169,0
石竹色,せきちくいろ,#E5ABBE,229,171,190,0
撫子色,なでしこいろ,#EEBBCB,238,187,203,0
薄紅梅,うすこうばい,#E597B2,229,151,178,0
牡丹色,ぼたんいろ,#E7609E,231,96,158,0
躑躅色,つつじいろ,#E95295,233,82,149,0
秋桜,こすもす,#F85CA2,248,92,162,0
赤紫,あかむらさき,#EB6EA5,235,110,165,0
梅重,うめかさね,#F73B70,247,59,112,0
紅,くれない,#D7003A,215,0,58,0
京紫,きょうむらさき,#9D5B8B,157,91,139,0
若紫,わかむらさき,#BC64A4,188,100,164,0
梅紫,うめむらさき,#AA4C8F,170,76,143,0
紅紫,こうし・べにむらさき,#B44C97,180,76,151,0
中紅,なかべに,#C85179,200,81,121,0
紫紺,しこん,#460E44,70,14,68,0
貝紫,かいむらさき,#550B41,85,11,65,0
帝王紫,ていおうむらさき,#61065E,97,6,94,0
葡萄酒色,ぶどうしゅいろ,#6B1349,107,19,73,0
葡萄色,えびいろ,#640125,100,1,37,0
今紫,いまむらさき,#5B2856,91,40,86,0
葡萄染,えびぞめ,#7A4171,122,65,113,0
暗紅色・殷紅色,あんこうしょく,#74325C,116,50,92,0
茄子紺,なすこん,#824880,130,72,128,0
二藍,ふたあい,#915C8B,145,92,139,0
京藤,きょうふじ,#A46A92,164,106,146,0
浪花鼠,なにわねず,#8C6278,140,98,120,0
牡丹鼠,ぼたんねず,#785863,120,88,99,0
紅藤色,べにふじいろ,#CCA6BF,204,166,191,0
菖蒲色,あやめいろ,#CC7EB1,204,126,177,0
桃花色,ももはないろ,#E198B4,225,152,180,0
白,しろ,#FFFFFF,255,255,255,0
胡粉,ごふん,#FFFFFC,255,255,252,0
